uri, type, function, type2, path2, tag
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, ord, [BUILT_IN], , [BUILT_IN]: ord
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, range, , , range
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, bs.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: bs:append
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, cs.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: cs:append
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, dict, [BUILT_IN], , [BUILT_IN]: dict
DALLE-pytorch/dalle_pytorch/tokenizer.py:get_pairs, function, set, [BUILT_IN], , [BUILT_IN]: set
DALLE-pytorch/dalle_pytorch/tokenizer.py:get_pairs, function, pairs.add, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: pairs:add
DALLE-pytorch/dalle_pytorch/tokenizer.py:basic_clean, function, ftfy.fix_text, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: ftfy:fix_text
DALLE-pytorch/dalle_pytorch/tokenizer.py:basic_clean, function, html.unescape, [CLASS] [STDLIB], C:/Python39/lib/html, [CLASS] [STDLIB]: html:unescape
DALLE-pytorch/dalle_pytorch/tokenizer.py:basic_clean, function, text.strip, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: text:strip
DALLE-pytorch/dalle_pytorch/tokenizer.py:whitespace_clean, function, re.sub, [CLASS] [STDLIB], , [CLASS] [STDLIB]: re:sub
DALLE-pytorch/dalle_pytorch/tokenizer.py:whitespace_clean, function, text.strip, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: text:strip
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, list, , , list
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, ord, [BUILT_IN], , [BUILT_IN]: ord
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, range, , , range
