model_type,worda,wordb,value,worda_freq
model,university,network,0.11110298335552216,7
model,university,change,0.10937134921550751,7
model,university,end,0.10848575085401535,7
model,university,fund,0.10593292117118835,7
model,university,began,0.10523912310600281,7
cocount,university,effect,6.0,7
cocount,university,power,5.0,7
cocount,university,set,2.0,7
cocount,university,end,1.0,7
cocount,university,active,0.0,7
cocount,university,also,0.0,7
cocount,university,american,0.0,7
cocount,university,animal,0.0,7
cocount,university,author,0.0,7
cocount,university,began,0.0,7
cocount,university,california,0.0,7
cocount,university,called,0.0,7
cocount,university,change,0.0,7
cocount,university,chemical,0.0,7
cocount,university,chemistry,0.0,7
cocount,university,city,0.0,7
cocount,university,cloud,0.0,7
cocount,university,colorado,0.0,7
cocount,university,country,0.0,7
cocount,university,degree,0.0,7
model,french,chemistry,0.2432560920715332,16
model,french,family,0.2106916457414627,16
model,french,opposed,0.2019769698381424,16
model,french,ocean,0.19728252291679382,16
model,french,increase,0.18917270004749298,16
model,french,effect,0.1842835545539856,16
model,french,include,0.17036539316177368,16
model,french,various,0.1536197066307068,16
model,french,rule,0.152490496635437,16
model,french,fund,0.15228165686130524,16
model,french,power,0.14396853744983673,16
model,french,person,0.14294745028018951,16
model,french,greek,0.1300823986530304,16
model,french,spain,0.12897078692913055,16
model,french,object,0.12811502814292908,16
model,french,degree,0.12445717304944992,16
model,french,study,0.11239121854305267,16
model,french,illinois,0.10881642252206802,16
model,french,end,0.10781814157962799,16
model,french,change,0.09028279781341553,16
cocount,french,power,10.0,16
cocount,french,effect,6.0,16
cocount,french,set,6.0,16
cocount,french,end,5.0,16
cocount,french,family,5.0,16
cocount,french,active,0.0,16
cocount,french,also,0.0,16
cocount,french,american,0.0,16
cocount,french,animal,0.0,16
cocount,french,author,0.0,16
cocount,french,began,0.0,16
cocount,french,california,0.0,16
cocount,french,called,0.0,16
cocount,french,change,0.0,16
cocount,french,chemical,0.0,16
cocount,french,chemistry,0.0,16
cocount,french,city,0.0,16
cocount,french,cloud,0.0,16
cocount,french,colorado,0.0,16
cocount,french,country,0.0,16
model,human,river,0.2934924364089966,17
model,human,set,0.2649747133255005,17
model,human,power,0.259101927280426,17
model,human,university,0.23467200994491577,17
model,human,growth,0.2076999545097351,17
model,human,end,0.20683518052101135,17
model,human,california,0.18842434883117676,17
model,human,prevented,0.16273409128189087,17
model,human,social,0.15357287228107452,17
model,human,several,0.1526496410369873,17
model,human,information,0.1320212334394455,17
model,human,generate,0.12742486596107483,17
model,human,posted,0.11901187151670456,17
model,human,city,0.11786767095327377,17
model,human,low,0.11434222757816315,17
model,human,may,0.11408882588148117,17
model,human,family,0.10836875438690186,17
model,human,japan,0.09830162674188614,17
model,human,group,0.09785111248493195,17
model,human,precipitating,0.09133503586053848,17
cocount,human,family,16.0,17
cocount,human,effect,7.0,17
cocount,human,end,4.0,17
cocount,human,set,4.0,17
cocount,human,power,3.0,17
cocount,human,active,0.0,17
cocount,human,also,0.0,17
cocount,human,american,0.0,17
cocount,human,animal,0.0,17
cocount,human,author,0.0,17
cocount,human,began,0.0,17
cocount,human,california,0.0,17
cocount,human,called,0.0,17
cocount,human,change,0.0,17
cocount,human,chemical,0.0,17
cocount,human,chemistry,0.0,17
cocount,human,city,0.0,17
cocount,human,cloud,0.0,17
cocount,human,colorado,0.0,17
cocount,human,country,0.0,17
model,legal,europe,0.2765168845653534,12
model,legal,cloud,0.26535987854003906,12
model,legal,different,0.2560510039329529,12
model,legal,scientific,0.24850444495677948,12
model,legal,one,0.21308086812496185,12
model,legal,example,0.20006163418293,12
model,legal,person,0.15683457255363464,12
model,legal,union,0.14807933568954468,12
model,legal,theoretical,0.13903436064720154,12
model,legal,world,0.1259997934103012,12
model,legal,also,0.12253700941801071,12
model,legal,animal,0.12094856798648834,12
model,legal,power,0.11681994050741196,12
model,legal,change,0.11151014268398285,12
model,legal,increase,0.09718997776508331,12
model,legal,lack,0.09059219062328339,12
model,legal,use,0.08752375841140747,12
model,legal,opposed,0.07872962951660156,12
model,legal,chemistry,0.0723339393734932,12
model,legal,plan,0.06996972858905792,12
cocount,legal,family,8.0,12
cocount,legal,end,6.0,12
cocount,legal,set,6.0,12
cocount,legal,power,3.0,12
cocount,legal,effect,1.0,12
cocount,legal,active,0.0,12
cocount,legal,also,0.0,12
