model_type,worda,wordb,value,worda_freq
model,french,ss,0.7909534573554993,16
model,french,effect,0.7900570631027222,16
model,french,set,0.788101077079773,16
model,french,power,0.7876832485198975,16
model,french,end,0.7848080396652222,16
model,french,family,0.784765899181366,16
model,french,different,0.7784901857376099,16
model,french,opposed,0.7767351269721985,16
model,french,government,0.7564679384231567,16
model,french,information,0.7512773275375366,16
model,french,however,0.7354174256324768,16
model,french,number,0.7344900369644165,16
model,french,change,0.7330988049507141,16
model,french,growth,0.7296813726425171,16
model,french,legal,0.70770663022995,16
model,french,american,0.7026382684707642,16
model,french,cloud,0.6818826794624329,16
model,french,began,0.665969729423523,16
model,french,spain,0.6549046635627747,16
model,french,substance,0.6504617929458618,16
cocount,french,ss,32.0,16
cocount,french,power,10.0,16
cocount,french,effect,6.0,16
cocount,french,set,6.0,16
cocount,french,end,5.0,16
cocount,french,family,5.0,16
cocount,french,active,0.0,16
cocount,french,also,0.0,16
cocount,french,american,0.0,16
cocount,french,animal,0.0,16
cocount,french,author,0.0,16
cocount,french,began,0.0,16
cocount,french,california,0.0,16
cocount,french,called,0.0,16
cocount,french,change,0.0,16
cocount,french,chemical,0.0,16
cocount,french,chemistry,0.0,16
cocount,french,city,0.0,16
cocount,french,cloud,0.0,16
cocount,french,colorado,0.0,16
model,spain,set,0.7896140813827515,9
model,spain,opposed,0.7867372035980225,9
model,spain,ss,0.7842726707458496,9
model,spain,end,0.7842472791671753,9
model,spain,power,0.7841023802757263,9
model,spain,family,0.7806347608566284,9
model,spain,effect,0.7788581848144531,9
model,spain,different,0.7740391492843628,9
model,spain,government,0.7727672457695007,9
model,spain,information,0.7504980564117432,9
model,spain,change,0.7426851987838745,9
model,spain,growth,0.7392354607582092,9
model,spain,legal,0.7277212142944336,9
model,spain,however,0.718142032623291,9
model,spain,number,0.683395504951477,9
model,spain,began,0.6811316013336182,9
model,spain,substance,0.6576740741729736,9
model,spain,french,0.6549046039581299,9
model,spain,cloud,0.6427421569824219,9
model,spain,american,0.6345021724700928,9
cocount,spain,ss,18.0,9
cocount,spain,power,8.0,9
cocount,spain,set,4.0,9
cocount,spain,effect,2.0,9
cocount,spain,end,2.0,9
cocount,spain,family,2.0,9
cocount,spain,active,0.0,9
cocount,spain,also,0.0,9
cocount,spain,american,0.0,9
cocount,spain,animal,0.0,9
cocount,spain,author,0.0,9
cocount,spain,began,0.0,9
cocount,spain,california,0.0,9
cocount,spain,called,0.0,9
cocount,spain,change,0.0,9
cocount,spain,chemical,0.0,9
cocount,spain,chemistry,0.0,9
cocount,spain,city,0.0,9
cocount,spain,cloud,0.0,9
cocount,spain,colorado,0.0,9
model,american,power,0.872512698173523,25
model,american,end,0.8708429336547852,25
model,american,ss,0.8698747158050537,25
model,american,family,0.8685237169265747,25
model,american,set,0.8680386543273926,25
model,american,effect,0.8669782876968384,25
model,american,different,0.8531768321990967,25
model,american,information,0.8506974577903748,25
model,american,government,0.8505793809890747,25
model,american,opposed,0.827926516532898,25
model,american,number,0.8211938738822937,25
model,american,change,0.8126221895217896,25
model,american,growth,0.8118419647216797,25
model,american,however,0.8052676916122437,25
model,american,substance,0.7780683040618896,25
model,american,began,0.7725908756256104,25
model,american,legal,0.7682186365127563,25
model,american,economic,0.7530952095985413,25
model,american,cloud,0.7229359149932861,25
model,american,chemistry,0.703823447227478,25
cocount,american,ss,50.0,25
cocount,american,family,18.0,25
cocount,american,end,11.0,25
cocount,american,power,11.0,25
cocount,american,effect,5.0,25
cocount,american,set,5.0,25
cocount,american,active,0.0,25
cocount,american,also,0.0,25
cocount,american,american,0.0,25
cocount,american,animal,0.0,25
cocount,american,author,0.0,25
cocount,american,began,0.0,25
cocount,american,california,0.0,25
cocount,american,called,0.0,25
cocount,american,change,0.0,25
cocount,american,chemical,0.0,25
cocount,american,chemistry,0.0,25
cocount,american,city,0.0,25
cocount,american,cloud,0.0,25
cocount,american,colorado,0.0,25
model,also,end,0.7859036922454834,14
model,also,family,0.7858973741531372,14
model,also,different,0.785189151763916,14
model,also,ss,0.7850377559661865,14
model,also,set,0.7841441631317139,14
model,also,effect,0.7824176549911499,14
model,also,power,0.7823135852813721,14
model,also,change,0.774364709854126,14
model,also,government,0.7702422142028809,14
model,also,information,0.7497605085372925,14
model,also,number,0.7409719228744507,14
model,also,however,0.7347993850708008,14
model,also,opposed,0.7338244915008545,14
model,also,cloud,0.7154130339622498,14
model,also,substance,0.7089850306510925,14
model,also,growth,0.690517008304596,14
model,also,american,0.6744312644004822,14
model,also,began,0.671779990196228,14
model,also,one,0.6557692289352417,14
model,also,legal,0.6536684036254883,14
cocount,also,ss,28.0,14
cocount,also,effect,8.0,14
cocount,also,end,5.0,14
cocount,also,family,5.0,14
cocount,also,power,5.0,14
cocount,also,set,5.0,14
cocount,also,active,0.0,14
cocount,also,also,0.0,14
cocount,also,american,0.0,14
cocount,also,animal,0.0,14
cocount,also,author,0.0,14
cocount,also,began,0.0,14
cocount,also,california,0.0,14
cocount,also,called,0.0,14
cocount,also,change,0.0,14
cocount,also,chemical,0.0,14
cocount,also,chemistry,0.0,14
cocount,also,city,0.0,14
cocount,also,cloud,0.0,14
cocount,also,colorado,0.0,14
model,one,ss,0.7969698309898376,17
model,one,set,0.7968896627426147,17
model,one,family,0.7956456542015076,17
model,one,effect,0.7928949594497681,17
model,one,power,0.7906957864761353,17
model,one,end,0.7888671159744263,17
model,one,different,0.7766197919845581,17
model,one,information,0.7747543454170227,17
model,one,government,0.7692469358444214,17
model,one,opposed,0.740266740322113,17
model,one,however,0.7374931573867798,17
model,one,growth,0.7351276278495789,17
model,one,change,0.7309041619300842,17
model,one,number,0.7050317525863647,17
model,one,american,0.7003254890441895,17
model,one,substance,0.6689478158950806,17
model,one,also,0.6557692289352417,17
model,one,cloud,0.6526347398757935,17
model,one,legal,0.6504302620887756,17
model,one,university,0.6449514031410217,17
cocount,one,ss,34.0,17
cocount,one,family,12.0,17
cocount,one,end,6.0,17
cocount,one,power,6.0,17
cocount,one,effect,5.0,17
cocount,one,set,5.0,17
cocount,one,active,0.0,17
cocount,one,also,0.0,17
cocount,one,american,0.0,17
cocount,one,animal,0.0,17
cocount,one,author,0.0,17
cocount,one,began,0.0,17
cocount,one,california,0.0,17
cocount,one,called,0.0,17
cocount,one,change,0.0,17
cocount,one,chemical,0.0,17
cocount,one,chemistry,0.0,17
cocount,one,city,0.0,17
cocount,one,cloud,0.0,17
cocount,one,colorado,0.0,17
model,europe,cloud,0.4195057153701782,13
model,europe,network,0.40742939710617065,13
model,europe,change,0.39993035793304443,13
model,europe,legal,0.3956516683101654,13
model,europe,also,0.3948625922203064,13
model,europe,growth,0.3836335241794586,13
model,europe,union,0.3830098509788513,13
model,europe,set,0.3696141839027405,13
model,europe,number,0.3695114254951477,13
model,europe,effect,0.368358314037323,13
model,europe,information,0.36741018295288086,13
model,europe,land,0.367404580116272,13
model,europe,opposed,0.3645087480545044,13
model,europe,ss,0.36020612716674805,13
model,europe,family,0.35963496565818787,13
model,europe,power,0.3583105802536011,13
model,europe,end,0.3575252294540405,13
model,europe,different,0.35705408453941345,13
model,europe,government,0.3557646572589874,13
model,europe,animal,0.3437478542327881,13
cocount,europe,ss,26.0,13
cocount,europe,power,9.0,13
cocount,europe,effect,6.0,13
cocount,europe,family,6.0,13
cocount,europe,set,4.0,13
cocount,europe,end,1.0,13
cocount,europe,active,0.0,13
cocount,europe,also,0.0,13
cocount,europe,american,0.0,13
cocount,europe,animal,0.0,13
cocount,europe,author,0.0,13
cocount,europe,began,0.0,13
cocount,europe,california,0.0,13
cocount,europe,called,0.0,13
cocount,europe,change,0.0,13
cocount,europe,chemical,0.0,13
cocount,europe,chemistry,0.0,13
cocount,europe,city,0.0,13
cocount,europe,cloud,0.0,13
cocount,europe,colorado,0.0,13
model,lake,effect,0.5332564115524292,9
model,lake,family,0.5332050919532776,9
model,lake,power,0.5326457023620605,9
model,lake,ss,0.5316019058227539,9
model,lake,end,0.52662193775177,9
model,lake,government,0.525605320930481,9
model,lake,opposed,0.5213845372200012,9
model,lake,set,0.5171852111816406,9
